id,ICAO CODE,IATA CODE,AIRPORT NAME,CITY,COUNTRY,Latitude,Longitude
138,CYRM,YRM,ROCKY MOUNTAIN HOUSE,ROCKY MOUNTAIN HOUSE,CANADA,52.43,-114.904
139,CYRT,YRT,RANKIN INLET,RANKIN INLET,CANADA,62.811,-92.116
140,CYSB,YSB,SUDBURY,SUDBURY,CANADA,46.625,-80.799
141,CYSC,YSC,SHERBROOKE,SHERBROOKE,CANADA,45.438,-71.691
142,CYSJ,YSJ,SAINT JOHN,ST. JOHN,CANADA,45.316,-65.89
143,CYSM,YSM,FORT SMITH,FORT SMITH,CANADA,60.022,-111.96
144,CYSR,YSR,NANISIVIK,NANISIVIK,CANADA,72.982,-84.614
145,CYSU,YSU,SUMMERSIDE,SUMMERSIDE,CANADA,46.443,-63.831
146,CYSY,YSY,SACHS HARBOUR,SACHS HARBOUR,CANADA,71.994,-125.243
147,CYTE,YTE,CAPE DORSET,CAPE DORSET,CANADA,64.23,-76.527
148,CYTH,YTH,THOMPSON,THOMPSON,CANADA,55.801,-97.864
149,CYTR,YTR,TRENTON,TRENTON,CANADA,44.119,-77.528
150,CYTS,YTS,TIMMINS,TIMMINS,CANADA,48.57,-81.377
151,CYTZ,YTZ,CITY CENTRE,TORONTO,CANADA,43.627,-79.396
152,CYUB,YUB,TUKTOYAKTUK,TUKTOYAKTUK,CANADA,69.433,-133.026
153,CYUL,YUL,MONTREAL INTERNATIONAL DORVAL,MONTREAL,CANADA,45.468,-73.741
154,CYUT,YUT,REPULSE BAY,REPULSE BAY,CANADA,66.521,-86.225
155,CYUX,YUX,HALL BEACH,HALL BEACH,CANADA,68.776,-81.244
156,CYUY,YUY,ROUYN NORANDA,ROUYN,CANADA,48.206,-78.836
157,CYVC,YVC,LA RONGE,LA RONGE,CANADA,55.151,-105.262
158,CYVG,YVG,VERMILION,VERMILLION,CANADA,53.356,-110.824
159,CYVM,YVM,QIKIQTARJUAQ,BROUGHTON ISLAND,CANADA,67.546,-64.031
160,CYVO,YVO,VAL D OR,VAL D'OR,CANADA,48.053,-77.783
161,CYVP,YVP,KUUJJUAQ,QUUJJUAQ,CANADA,58.096,-68.427
162,CYVQ,YVQ,NORMAN WELLS,NORMAN WELLS,CANADA,65.282,-126.8
163,CYVR,YVR,VANCOUVER INTERNATIONAL,VANCOUVER,CANADA,49.195,-123.182
164,CYVT,YVT,BUFFALO NARROWS,BUFFALO NARROWS,CANADA,55.842,-108.418
165,CYVV,YVV,WIARTON,WIARTON,CANADA,44.746,-81.107
166,CYWA,YWA,PETAWAWA,PETAWAWA,CANADA,45.952,-77.319
167,CYWG,YWG,WINNIPEG INTERNATIONAL,WINNIPEG,CANADA,49.91,-97.234
168,CYWK,YWK,WABUSH,WABUSH,CANADA,52.922,-66.864
169,CYWL,YWL,WILLIAMS LAKE,WILLIAMS LAKE,CANADA,52.183,-122.054
170,CYWY,YWY,WRIGLEY,WRIGLEY,CANADA,63.209,-123.437
171,CYXC,YXC,CRANBROOK,CRANBROOK,CANADA,49.61,-115.782
172,CYXD,YXD,EDMONTON CITY CENTRE,EDMONTON,CANADA,53.573,-113.521
173,CYXE,YXE,SASKATOON J G DIEFENBAKER INTERNATIONAL,SASKATOON,CANADA,52.171,-106.7
174,CYXH,YXH,MEDICINE HAT,MEDICINE HAT,CANADA,50.019,-110.721
175,CYXJ,YXJ,FORT ST JOHN,FORT SAINT JOHN,CANADA,56.238,-120.74
176,CYXL,YXL,SIOUX LOOKOUT,SIOUX LOOKOUT,CANADA,50.114,-91.904
177,CYXP,YXP,PANGNIRTUNG,PANGNIRTUNG,CANADA,66.145,-65.714
178,CYXR,YXR,TIMISKAMING RGNL,EARLTON,CANADA,47.695,-79.849
179,CYXS,YXS,PRINCE GEORGE,PRINCE GEORGE,CANADA,53.889,-122.679
180,CYXT,YXT,TERRACE,TERRACE,CANADA,54.466,-128.577
181,CYXU,YXU,LONDON,LONDON,CANADA,43.036,-81.154
182,CYXX,YXX,ABBOTSFORD,ABBOTSFORD,CANADA,49.025,-122.363
183,CYXY,YXY,WHITEHORSE INTERNATIONAL,WHITEHORSE,CANADA,60.709,-135.068
184,CYYB,YYB,NORTH BAY,NORTH BAY,CANADA,46.364,-79.423
185,CYYC,YYC,CALGARY INTERNATIONAL,CALGARY,CANADA,51.114,-114.02
186,CYYD,YYD,SMITHERS,SMITHERS,CANADA,54.825,-127.183
187,CYYE,YYE,FORT NELSON,FORT NELSON,CANADA,58.836,-122.597
188,CYYF,YYF,PENTICTON,PENTICTON,CANADA,49.463,-119.602
